Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
15534952;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;40;;;29446;697623.00;1019622.00;2013-12-05T00:00:00
15534961;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;42;;;29446;697863.69;1019512.44;2013-12-05T00:00:00
15534979;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;43;;;29446;697808.00;1019619.00;2013-12-05T00:00:00
15534987;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;44;;;29446;697613.50;1019709.25;2013-12-05T00:00:00
15534995;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;48;;;29446;697722.00;1019542.38;2013-12-05T00:00:00
15535002;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;51;;;29446;697638.69;1019569.69;2013-12-05T00:00:00
15535011;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;53;;;29446;697871.38;1019545.63;2013-12-05T00:00:00
15535029;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;55;;;29446;697892.44;1019544.50;2013-12-05T00:00:00
15535037;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;57;;;29446;695490.00;1020954.00;2013-12-05T00:00:00
15535045;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;60;;;29446;697714.00;1019700.31;2013-12-05T00:00:00
15535053;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;63;;;29446;697669.81;1019301.13;2013-12-05T00:00:00
15535061;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;64;;;29446;697594.50;1019725.88;2013-12-05T00:00:00
15535070;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;66;;;29446;697558.38;1019712.25;2013-12-05T00:00:00
15535088;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;68;;;29446;697542.91;1019723.36;2017-11-20T00:00:00
15535096;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;69;;;29446;697740.06;1019684.94;2013-12-05T00:00:00
15535100;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;71;;;29446;697798.75;1019736.25;2013-12-05T00:00:00
15535118;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;72;;;29446;697833.00;1019731.00;2013-12-05T00:00:00
15535134;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;75;;;29446;697747.19;1019777.75;2013-12-05T00:00:00
15535142;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;76;;;29446;697762.56;1019853.31;2013-12-05T00:00:00
15535151;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;79;;;29446;697752.19;1019802.38;2013-12-05T00:00:00
15535169;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;83;;;29446;697676.60;1019432.79;2013-12-05T00:00:00
15535177;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;84;;;29446;697712.00;1019811.00;2013-12-05T00:00:00
15535185;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;86;;;29446;697658.25;1019830.50;2013-12-05T00:00:00
15535193;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;87;;;29446;697727.94;1019856.88;2013-12-05T00:00:00
15535207;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;88;;;29446;697742.13;1019880.00;2013-12-05T00:00:00
15535215;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;89;;;29446;697715.69;1019422.44;2013-12-05T00:00:00
15535223;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;90;;;29446;697756.83;1019902.42;2013-12-05T00:00:00
15535231;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;91;;;29446;697766.75;1019919.13;2013-12-05T00:00:00
15535240;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;92;;;29446;697888.00;1019710.19;2013-12-05T00:00:00
15535258;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;93;;;29446;697754.31;1019340.81;2013-12-05T00:00:00
15535266;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;97;;;29446;697753.69;1019280.69;2013-12-05T00:00:00
15535274;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;98;;;29446;697764.06;1019909.38;2013-12-05T00:00:00
15535282;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;99;;;29446;697686.80;1019230.01;2013-12-05T00:00:00
15535291;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;2;;;29446;695275.81;1019964.63;2013-12-05T00:00:00
15535304;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;3;;;29446;695282.19;1019946.50;2013-12-05T00:00:00
15535312;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;5;;;29446;695293.00;1019932.69;2015-12-31T00:00:00
15535321;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;6;;;29446;695321.00;1019926.00;2013-12-05T00:00:00
15535339;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;8;;;29446;695389.00;1019971.56;2013-12-05T00:00:00
15535347;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;11;;;29446;695454.75;1020729.63;2013-12-05T00:00:00
15535355;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;12;;;29446;695436.00;1020731.81;2013-12-05T00:00:00
15535363;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;13;;;29446;695450.75;1020750.69;2013-12-05T00:00:00
15535371;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;14;;;29446;695677.63;1020930.48;2017-10-27T00:00:00
15535398;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;23;;;29446;697720.94;1019160.31;2013-12-05T00:00:00
25946358;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;7;;;29446;697674.60;1019474.76;2013-12-05T00:00:00
26608944;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;100;;;29446;697553.00;1019455.00;2015-11-06T00:00:00
26640074;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;47;;;29446;697815.00;1019525.00;2013-12-05T00:00:00
26792842;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;2;;;29446;697670.06;1019677.31;2013-12-05T00:00:00
26792869;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;5;;;29446;697663.88;1019567.56;2013-12-05T00:00:00
26792877;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;6;;;29446;697680.81;1019518.38;2013-12-05T00:00:00
26792885;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;8;;;29446;697672.50;1019415.25;2013-12-05T00:00:00
26792893;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;12;;;29446;697649.69;1019228.19;2013-12-05T00:00:00
26792907;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;14;;;29446;697726.50;1019181.88;2013-12-05T00:00:00
26792923;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;21;;;29446;697743.00;1019372.88;2013-12-05T00:00:00
26792931;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;23;;;29446;697725.25;1019433.31;2013-12-05T00:00:00
26792940;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;24;;;29446;697761.13;1019469.50;2013-12-05T00:00:00
26792958;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;27;;;29446;697800.00;1019538.00;2013-12-05T00:00:00
26792966;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;29;;;29446;697753.69;1019598.13;2013-12-05T00:00:00
26792974;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;33;;;29446;695577.62;1020918.30;2013-12-05T00:00:00
26792982;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;34;;;29446;697775.63;1019956.19;2013-12-05T00:00:00
26792991;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;37;;;29446;697747.50;1019253.13;2014-02-10T00:00:00
26793008;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;38;;;29446;697692.63;1019156.00;2013-12-05T00:00:00
26793016;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;41;;;29446;697652.94;1019533.50;2013-12-05T00:00:00
26793024;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;45;;;29446;697763.50;1019630.44;2013-12-05T00:00:00
26793032;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;46;;;29446;697740.13;1019635.94;2013-12-05T00:00:00
26793041;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;50;;;29446;697684.35;1019494.56;2014-02-10T00:00:00
26793067;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;54;;;29446;697681.13;1019562.19;2013-12-05T00:00:00
26793075;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;56;;;29446;697859.50;1019719.94;2013-12-05T00:00:00
26793083;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;59;;;29446;697581.19;1019686.13;2013-12-05T00:00:00
26793091;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;61;;;29446;697734.13;1019645.25;2013-12-05T00:00:00
26793105;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;62;;;29446;697559.88;1019704.50;2013-12-05T00:00:00
26793113;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;65;;;29446;697569.31;1019732.13;2013-12-05T00:00:00
26793121;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;67;;;29446;697692.06;1019803.56;2013-12-05T00:00:00
26793130;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;70;;;29446;697745.13;1019726.75;2013-12-05T00:00:00
26793148;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;74;;;29446;697819.50;1019764.38;2013-12-05T00:00:00
26793156;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;77;;;29446;697787.81;1019898.69;2013-12-05T00:00:00
26793164;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;78;;;29446;697778.00;1019875.25;2013-12-05T00:00:00
26793172;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;80;;;29446;697674.56;1019871.44;2013-12-05T00:00:00
26793181;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;81;;;29446;697703.31;1019837.00;2017-06-16T00:00:00
26793199;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;82;;;29446;697723.44;1019811.56;2013-12-05T00:00:00
26793202;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;85;;;29446;697754.31;1019831.38;2013-12-05T00:00:00
26793211;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;94;;;29446;697699.75;1019678.44;2013-12-05T00:00:00
26793229;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;95;;;29446;697769.44;1019294.88;2013-12-05T00:00:00
26793237;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;1;;;29446;695293.19;1019997.44;2013-12-05T00:00:00
26793245;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;4;;;29446;695267.63;1019984.31;2013-12-05T00:00:00
26793253;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;7;;;29446;695337.56;1019938.31;2013-12-05T00:00:00
26793261;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;9;;;29446;695351.88;1019949.56;2013-12-05T00:00:00
26793270;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;10;;;29446;695471.88;1020694.38;2013-12-05T00:00:00
26793288;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;15;;;29446;695468.56;1020762.50;2013-12-05T00:00:00
26793296;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;16;;;29446;695489.00;1020723.00;2013-12-05T00:00:00
26793300;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;17;;;29446;697689.81;1019177.06;2013-12-05T00:00:00
26793318;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;18;;;29446;697692.63;1019261.38;2013-12-05T00:00:00
26793326;571032;Pмиice;;;;;118745;Pмиice;;;и.ev.;19;;;29446;697668.63;1019663.31;2013-12-05T00:00:00
26793334;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;36;;;29446;697639.00;1019583.31;2013-12-05T00:00:00
28473370;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;101;;;29446;697660.54;1019803.29;2013-12-05T00:00:00
28473388;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;102;;;29446;697847.87;1019749.03;2013-12-05T00:00:00
30853974;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;58;;;29446;697622.06;1019597.50;2013-12-05T00:00:00
40088855;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;32;;;29446;695512.71;1020966.12;2014-02-10T00:00:00
42669235;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;103;;;29446;697690.10;1019213.59;2021-01-28T00:00:00
74034669;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;104;;;29446;697578.22;1019244.22;2015-09-08T00:00:00
77794362;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;105;;;29446;697654.64;1019703.18;2017-11-13T00:00:00
78359538;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;106;;;29446;697571.31;1019451.66;2018-05-18T00:00:00
78788412;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;107;;;29446;697911.05;1019526.42;2018-10-22T00:00:00
79000991;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;108;;;29446;697550.19;1019252.15;2018-12-20T00:00:00
81102607;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;109;;;29446;697828.60;1019525.47;2020-08-27T00:00:00
81129220;571032;Pмиice;;;;;118745;Pмиice;;;и.p.;110;;;29446;697822.62;1019278.19;2020-09-09T00:00:00
